"","main_sector","count","total_amount_invested"
"1","Others",2950,26321007002
"2","Social, Finance, Analytics, Advertising",2714,23807376964
"3","Cleantech / Semiconductors",2350,21633430822
"4","News, Search and Messaging",1583,13971567428
"5","Health",909,8211859357
"6","Manufacturing",799,7258553378
"7","Entertainment",591,5099197982
"8","Automotive & Sports",167,1454104361
"9",NA,87,774250221
