"","main_sector","count","total_amount_invested"
"1","Others",110,1013409507
"2","Social, Finance, Analytics, Advertising",60,550549550
"3","News, Search and Messaging",52,433834545
"4","Entertainment",33,280830000
"5","Manufacturing",21,200900000
"6","Health",19,167740000
"7","Cleantech / Semiconductors",20,165380000
"8","Automotive & Sports",13,136900000
"9",NA,2,2.7e+07
